"Elements","Ancestors"
"1001","110,100"
"1002","150,100"
"1003","150,100"
"1004","150,100"
"1005","130,100"
"1007","120,100"
"1008","150,100"
"1009","120,100"
"1010","110,100"
"1011","150,100"
"1012","152,150,100"
"1013","152,150,100"
"1014","152,150,100"
"1015","152,150,100"
"1016","159,150,100"
"1017","159,150,100"
"1018","159,150,100"
"1020","130,100"
"1021","131,130,100"
"1022","131,130,100"
"1023","150,100"
"1024","130,100"
"1025","110,100"
"1026","120,100"
"1027","158,150,100"
"1028","158,150,100"
"1029","158,150,100"
"1030","150,100"
"1031","155,150,100"
"1032","155,150,100"
"1033","150,100"
"1034","150,100"
"1035","110,100"
"1036","150,100"
"1037","153,150,100"
"1038","153,150,100"
"1039","150,100"
"1040","150,100"
"1041","150,100"
"1042","157,150,100"
"1045","157,150,100"
"1048","304"
"1049","157,150,100"
"1050","100"
"1051","157,150,100"
"1052","157,150,100"
"1053","157,150,100"
"1054","157,150,100"
"1056","156,150,100"
"1057","156,150,100"
"1058","156,150,100"
"1059","156,150,100"
"1060","156,150,100"
"1061","156,150,100"
"1062","156,150,100"
"1063","153,150,100"
"1064","153,150,100"
"1065","110,100"
"1066","153,150,100"
"1067","130,100"
"1068","150,100"
"1069","150,100"
"1070","150,100"
"1071","132,130,100"
"1072","132,130,100"
"1073","132,130,100"
"1074","132,130,100"
"1076","132,130,100"
"1077","132,130,100"
"1078","151,150,100"
"1079","151,150,100"
"1080","151,150,100"
"1081","120,100"
"1082","110,100"
"1083","153,150,100"
"1084","110,100"
"1086","100"
"1089","157,150,100"
"1090","110,100"
"1093","150,100"
"1094","130,100"
"1095","130,100"
"1096","110,100"
"1097","100"
"1099","150,100"
"1100","150,100"
"1107","154,150,100"
"1108","154,150,100"
"1109","154,150,100"
"1111","154,150,100"
"1112","110,100"
"1113","154,150,100"
"1114","120,100"
"1115","158,150,100"
"1116","156,150,100"
"1118","140,100"
"1119","153,150,100"
"1120","157,150,100"
"1121","153,150,100"
"1122","132,130,100"
"1123","110,100"
"1125","150,100"
"1126","154,150,100"
"1127","120,100"
"1128","158,150,100"
"1129","132,130,100"
"1130","110,100"
"1131","236,230,200"
"1132","140,100"
"1133","140,100"
"1134","140,100"
"1135","140,100"
"1136","132,130,100"
"1137","304"
"1138","304"
"1139","153,150,100"
"1140","153,150,100"
"1141","120,100"
"1142","153,150,100"
"1143","120,100"
"1144","132,130,100"
"1145","304"
"1146","158,150,100"
"1147","132,130,100"
"1148","150,100"
"1149","304"
"1150","154,150,100"
"1151","154,150,100"
"1152","303"
"1153","152,150,100"
"1154","110,100"
"1155","132,130,100"
"1156","120,100"
"1157","156,150,100"
"1158","156,150,100"
"1159","132,130,100"
"1160","120,100"
"1161","120,100"
"1162","157,150,100"
"1163","132,130,100"
"1164","120,100"
"1165","120,100"
"1166","304"
"1167","132,130,100"
"1168","158,150,100"
"1169","140,100"
"1170","157,150,100"
"1171","157,150,100"
"1172","154,150,100"
"1173","130,100"
"1174","303"
"1175","150,100"
"1176","120,100"
"1177","132,130,100"
"1178","110,100"
"1179","150,100"
"1180","150,100"
"1181","154,150,100"
"1182","304"
"1183","154,150,100"
"1184","120,100"
"1185","120,100"
"1186","120,100"
"1187","110,100"
"1188","130,100"
"1189","157,150,100"
"1190","150,100"
"1191","153,150,100"
"1192","150,100"
"1193","110,100"
"1194","130,100"
"1195","140,100"
"1196","153,150,100"
"1197","132,130,100"
"1198","150,100"
"1199","154,150,100"
"1200","110,100"
"1201","156,150,100"
"1202","100"
"1203","110,100"
"1204","100"
"1205","158,150,100"
"1206","150,100"
"1207","110,100"
"1208","150,100"
"1209","304"
"1210","130,100"
"1211","304"
"1212","150,100"
"1213","153,150,100"
"1214","304"
"1215","153,150,100"
"1216","304"
"1217","159,150,100"
"1218","150,100"
"1219","304"
"1220","150,100"
"1221","304"
"1222","150,100"
"1223","158,150,100"
"1224","308"
"1225","150,100"
"1226","303"
"1227","152,150,100"
"1228","140,100"
"1229","140,100"
"1230","130,100"
"1231","150,100"
"1232","153,150,100"
"1233","301"
"1234","110,100"
"1235","150,100"
"1236","150,100"
"1237","130,100"
"1238","155,150,100"
"1239","304"
"1240","155,150,100"
"1241","154,150,100"
"1242","110,100"
"1243","156,150,100"
"1244","150,100"
"1245","213,210,200"
"1246","150,100"
"1247","150,100"
"1249","153,150,100"
"1250","120,100"
"1251","304"
"1252","120,100"
"1253","304"
"1254","120,100"
"1255","156,150,100"
"1256","120,100"
"1257","120,100"
"1259","304"
"1260","237,230,200"
"2000","232,230,200"
"2001","232,230,200"
"2002","232,230,200"
"2003","232,230,200"
"2004","232,230,200"
"2005","232,230,200"
"2007","220,200"
"2008","211,210,200"
"2009","212,210,200"
"2010","212,210,200"
"2012","234,230,200"
"2013","234,230,200"
"2014","234,230,200"
"2015","234,230,200"
"2016","234,230,200"
"2017","230,200"
"2018","230,200"
"2019","236,230,200"
"2020","236,230,200"
"2021","235,230,200"
"2022","235,230,200"
"2023","235,230,200"
"2024","237,230,200"
"2025","230,200"
"2026","235,230,200"
"2027","236,230,200"
"2028","236,230,200"
"2029","210,200"
"2030","220,200"
"2031","236,230,200"
"2032","236,230,200"
"2033","236,230,200"
"2034","210,200"
"2035","210,200"
"2036","220,200"
"2037","233,230,200"
"2038","233,230,200"
"2039","210,200"
"2040","220,200"
"2041","237,230,200"
"2044","237,230,200"
"2045","237,230,200"
"2046","210,200"
"2047","220,200"
"2048","210,200"
"2049","210,200"
"2050","210,200"
"2051","220,200"
"2052","240,200"
"2053","240,200"
"2054","240,200"
"2055","235,230,200"
"2056","220,200"
"2057","233,230,200"
"2058","230,200"
"2059","220,200"
"2060","210,200"
"2061","232,230,200"
"2062","230,200"
"2063","230,200"
"2064","237,230,200"
"2065","211,210,200"
"2066","232,230,200"
"2067","304"
"2068","307"
"2069","232,230,200"
"2070","236,230,200"
"2071","210,200"
"2072","304"
"2073","220,200"
"2074","235,230,200"
"2075","304"
"2076","232,230,200"
"2077","232,230,200"
"2078","236,230,200"
"2079","233,230,200"
"2080","200"
"2081","304"
"2082","233,230,200"
"2083","200"
"2084","100"
"2085","100"
"2086","237,230,200"
"2087","236,230,200"
"2088","235,230,200"
"2089","236,230,200"
"2090","210,200"
"2091","236,230,200"
"2092","210,200"
"2093","233,230,200"
"2094","212,210,200"
"2095","230,200"
"2096","236,230,200"
"2097","236,230,200"
"2098","210,200"
"2099","210,200"
"2100","236,230,200"
"2101","233,230,200"
"2102","236,230,200"
"2103","211,210,200"
"2104","304"
"2105","232,230,200"
"2106","210,200"
"2107","236,230,200"
"2108","236,230,200"
"2109","236,230,200"
"2110","236,230,200"
"2111","236,230,200"
"2112","236,230,200"
"2113","235,230,200"
"2114","232,230,200"
"2115","304"
"2116","304"
"2117","200"
"2118","211,210,200"
"2119","232,230,200"
"2120","232,230,200"
"2121","233,230,200"
"2122","200"
"2123","210,200"
"2124","304"
"2125","304"
"2126","200"
"2127","230,200"
"2128","304"
"2129","200"
"2130","200"
"2131","200"
"2132","213,210,200"
"2133","220,200"
"2134","236,230,200"
"2135","200"
"2136","235,230,200"
"2137","233,230,200"
"2138","220,200"
"2139","233,230,200"
"2140","200"
"2141","232,230,200"
"2142","200"
"2143","220,200"
"2144","220,200"
"2145","220,200"
"2146","232,230,200"
"2147","232,230,200"
"2148","220,200"
"2149","220,200"
"2150","230,200"
"2151","220,200"
"2152","235,230,200"
"2153","235,230,200"
"2154","233,230,200"
"2155","237,230,200"
"2156","236,230,200"
"2157","236,230,200"
"2158","212,210,200"
"2159","236,230,200"
"2160","233,230,200"
"2161","233,230,200"
"2162","200"
"3000","303"
"3001","303"
"3003","303"
"3004","303"
"3005","303"
"3006","303"
"3007","303"
"3010","303"
"3011","303"
"3012","303"
"3013","303"
"3014","303"
"3015","303"
"3016","303"
"3018","303"
"3020","307"
"3021","307"
"3022","301"
"3023","307"
"3024","303"
"3025","110,100"
"3027","307"
"3028","301"
"3029","301"
"3030","300"
"3031","301"
"3032","301"
"3033","307"
"3034","307"
"3035","301"
"3036","301"
"3037","301"
"3038","301"
"3039","301"
"3040","301"
"3041","301"
"3042","301"
"3043","307"
"3044","308"
"3045","308"
"3046","307"
"3047","307"
"3048","307"
"3049","307"
"3050","307"
"3051","307"
"3052","307"
"3053","307"
"3054","307"
"3055","307"
"3056","301"
"3057","301"
"3058","301"
"3059","301"
"3060","307"
"3061","307"
"3062","307"
"3063","307"
"3064","301"
"3065","307"
"3067","301"
"3068","301"
"3069","301"
"3070","301"
"3071","301"
"3072","301"
"3073","301"
"3074","301"
"3075","307"
"3076","307"
"3077","307"
"3078","307"
"3079","301"
"3080","301"
"3081","301"
"3082","301"
"3083","301"
"3084","301"
"3085","301"
"3086","301"
"3087","307"
"3088","130,100"
"3089","235,230,200"
"3090","213,210,200"
"3091","306"
"3092","301"
"3093","307"
"3094","301"
"3095","301"
"3096","301"
"3097","307"
"3098","301"
"3099","301"
"3100","301"
"3101","301"
"3102","301"
"3103","301"
"3104","301"
"3105","301"
"3106","301"
"3107","301"
"3108","301"
"3109","306"
"3110","301"
"3111","301"
"3112","307"
"3113","307"
"3114","307"
"3115","307"
"3116","307"
"3117","213,210,200"
"3118","307"
"3119","307"
"3120","307"
"3121","301"
"3122","301"
"3123","307"
"3124","307"
"3125","307"
"3126","301"
"3127","307"
"3128","307"
"3129","307"
"3130","307"
"3131","307"
"3132","301"
"3133","307"
"3134","301"
"3135","307"
"3136","307"
"3137","301"
"3138","307"
"3139","301"
"3143","213,210,200"
"3144","213,210,200"
"3145","307"
"3146","307"
"3147","307"
"3149","307"
"3151","301"
"3152","301"
"3153","301"
"3155","307"
"3156","302"
"3157","307"
"3158","307"
"3159","307"
"3160","307"
"3161","307"
"3162","307"
"3163","307"
"3164","307"
"3167","307"
"3171","213,210,200"
"4000","302"
"4001","302"
"4003","301"
"4004","301"
"4005","301"
"4006","302"
"4007","302"
"4008","301"
"4009","302"
"4010","301"
"4011","301"
"4012","301"
"4013","301"
"4014","302"
"4015","301"
"4016","302"
"4017","302"
"4018","301"
"4019","301"
"4020","302"
"4021","301"
"4022","301"
"4023","302"
"4024","100"
"4026","100"
"4027","210,200"
"4028","132,130,100"
"4029","220,200"
"4030","100"
"4031","210,200"
"4032","153,150,100"
"4033","131,130,100"
"4034","232,230,200"
"4035","233,230,200"
"4036","154,150,100"
"4037","154,150,100"
"4038","236,230,200"
"4039","300"
"4040","153,150,100"
"4041","120,100"
"4042","154,150,100"
"4043","233,230,200"
"4044","302"
"4045","302"
"4046","302"
"4047","302"
"4048","301"
"4049","302"
"4051","302"
"4052","301"
"4053","302"
"4054","302"
"4055","302"
"4056","302"
"4057","301"
"4058","130,100"
"4059","302"
"4060","302"
"4061","302"
"4062","301"
"4063","301"
"4064","302"
"4065","302"
"4066","302"
"4067","232,230,200"
"4068","302"
"4069","302"
"4070","302"
"4071","302"
"4072","302"
"4073","302"
"4074","302"
"4075","302"
"4076","302"
"4077","302"
"4078","302"
"4079","302"
"4080","302"
"4347","307"
"4348","307"
"4349","307"
"4350","307"
"4351","301"
"4352","301"
"4353","301"
"4354","213,210,200"
"4355","301"
"4357","307"
"4358","301"
"4359","307"
"4360","213,210,200"
"4361","300"
"4362","213,210,200"
"4363","213,210,200"
"4364","307"
"4365","213,210,200"
"4366","307"
"5000","305"
"5001","305"
"5002","305"
"5003","305"
"5004","305"
"5005","301"
"5006","301"
"5007","301"
"5008","301"
"5009","301"
"5010","301"
"5011","307"
"5012","301"
"5013","301"
"5014","301"
"5015","301"
"5016","301"
"5017","301"
"5018","301"
"5019","301"
"5020","301"
"5021","301"
"5022","301"
"5023","301"
"5024","301"
"5025","301"
"5026","301"
"5027","301"
"5028","301"
"5029","301"
"5030","301"
"5031","301"
"5032","301"
"5033","301"
"5034","301"
"5035","301"
"5036","301"
"5037","301"
"5038","301"
"5039","301"
"5040","301"
"5041","301"
"5042","301"
"5043","301"
"5044","301"
"5045","301"
"5046","301"
"5047","301"
"5048","301"
"5049","301"
"5051","301"
"5052","301"
"5053","301"
"5054","301"
"5055","301"
"5056","301"
"5057","301"
"5059","301"
"5060","301"
"5061","301"
"5062","301"
"5063","301"
"5064","301"
"5066","301"
"5067","305"
"5068","305"
"5069","308"
"5070","213,210,200"
"5071","305"
"5072","307"
"5073","307"
"5074","307"
"5075","307"
"6000","301"
"6001","306"
"6002","306"
"6003","306"
"6004","306"
"6005","306"
"6006","306"
"6007","306"
"6008","306"
"6009","306"
"6011","306"
"6012","306"
"6013","306"
"6014","306"
"6015","306"
"6016","306"
"6017","306"
"6018","306"
"6019","306"
"6020","306"
"6021","306"
"6022","306"
"6023","307"
"6024","307"
"6025","307"
"6026","309"
"6027","309"
"7000","231,230,200"
"7002","231,230,200"
"7003","231,230,200"
"7004","231,230,200"
"7005","231,230,200"
"7006","231,230,200"
"7007","301"
"7008","231,230,200"
"7009","231,230,200"
"7010","231,230,200"
"7011","231,230,200"
"7012","231,230,200"
"7013","213,210,200"
"7014","213,210,200"
"7015","213,210,200"
"7016","213,210,200"
"7017","213,210,200"
"7018","213,210,200"
"8000","308"
"8001","308"
"8002","308"
"8003","308"
"8004","308"
"8005","308"
"8006","308"
"8007","301"
"8008","308"
"8009","308"
"8010","308"
"8011","308"
"8012","308"
"8013","308"
"8014","308"
"8015","308"
"8016","308"
"8017","308"
"8018","308"
"8019","213,210,200"
"8020","213,210,200"
"9000","309"
"9001","309"
"9002","309"
"9003","301"
"9004","301"
"9005","301"
"9006","301"
"9010","301"
"9011","301"
"9012","301"
"9013","301"
"9014","301"
"9015","301"
"9016","301"
"9017","301"
"9018","301"
"9019","301"
"9020","301"
"9021","301"
"9022","301"
"9023","301"
"9024","301"
"9025","301"
"9026","301"
"9027","301"
"9028","301"
"9029","301"
"9030","301"
"9031","151,150,100"
"9032","301"
"9033","301"
"9044","301"
"9045","301"
"9046","301"
"9047","301"
"9048","301"
"9049","301"
"9050","301"
"9051","301"
"9052","301"
"9053","301"
"9054","301"
"9055","301"
"9056","301"
"9057","301"
"9058","301"
"9059","301"
"9060","301"
"9061","301"
"9062","301"
"9063","301"
"9064","301"
"9065","301"
"9066","301"
"9067","301"
"9068","301"
"9069","301"
"9070","301"
"9071","301"
"9072","301"
"9073","301"
"9074","301"
"9075","301"
"9076","301"
"9077","301"
"9078","301"
"9079","301"
"9080","301"
"9081","301"
"9082","307"
"9083","307"
"9084","307"
"9085","307"
"9086","307"
"9087","307"
"9088","307"
"9089","307"
"9090","307"
"9091","307"
"9092","307"
"9093","307"
"9094","307"
"9095","307"
"9096","307"
"9097","307"
"9098","307"
"9099","307"
"9100","307"
"9101","307"
"9102","307"
"9103","307"
"9104","307"
"9105","307"
"9106","307"
"9107","307"
"9108","307"
"9109","307"
"9110","307"
"9111","307"
"9112","307"
"9113","307"
"9114","307"
"9115","307"
"9116","307"
"9117","307"
"9118","307"
"9119","307"
"9120","307"
"9121","307"
"9122","307"
"9123","307"
"9124","307"
"9125","307"
"9126","307"
"9127","307"
"9128","307"
"9129","307"
"9130","307"
"9131","307"
"9132","307"
"9133","307"
"9134","307"
"9135","307"
"9136","307"
"9137","307"
"9138","307"
"9139","307"
"9140","307"
"9141","307"
"9142","307"
"9144","307"
"9145","153,150,100"
"9146","307"
"9147","308"
"9148","100"
"9149","301"
"9150","301"
"9151","301"
"9152","307"
"9153","307"
"9154","307"
"9155","307"
"9156","307"
"9157","307"
"9158","307"
"9159","307"
"9160","307"
"9161","307"
"9162","307"
"9163","307"
"9164","307"
"9165","307"
"9166","307"
"9167","307"
"9168","307"
"9169","307"
"9170","307"
"9171","307"
"9172","307"
"9173","307"
"9174","307"
"9175","307"
"9176","307"
"9177","307"
"9178","307"
"9179","307"
"9180","307"
"9181","307"
"9182","307"
"9183","307"
"9184","307"
"9185","307"
"9186","307"
"9187","307"
"9188","307"
"9189","235,230,200"
"9190","307"
"9191","307"
"9192","307"
"9193","307"
"9194","307"
"9195","307"
"9196","301"
"9197","301"
"9198","301"
"9199","301"
"9200","301"
"9201","301"
"9202","301"
"9203","301"
"9204","301"
"9205","301"
"9206","301"
"9207","301"
"9208","301"
"9209","307"
"9210","307"
"9211","307"
"9212","307"
"9213","307"
"9214","307"
"9215","301"
"9216","301"
"9217","301"
"9218","301"
"9219","301"
"9220","301"
"9221","301"
"9222","301"
"9223","301"
"9224","301"
"9225","301"
"9226","301"
"9227","301"
"9228","301"
"9229","301"
"9231","301"
"9232","301"
"9233","301"
"9234","301"
"9236","307"
"9237","301"
"9238","301"
"9239","301"
"9240","301"
"9241","301"
"9242","301"
"9243","301"
"9244","301"
"9245","301"
"9246","301"
"9247","301"
"9248","301"
"9249","301"
"9250","301"
"9251","301"
"9252","308"
"9253","308"
"9254","308"
"9255","308"
"9256","307"
"9257","307"
"9258","309"
"9259","309"
"9260","307"
"9261","301"
"9262","307"
"9263","307"
"9264","307"
"9265","307"
"9266","307"
"9267","307"
"9268","307"
"9269","301"
"9270","308"
"9271","307"
"9272","307"
"9273","307"
"9274","301"
"9275","301"
"9276","301"
"9277","301"
"9278","301"
"9279","301"
"9280","301"
"9281","301"
"9282","301"
"9283","301"
"9284","301"
"9285","301"
"9286","301"
"9287","301"
"9289","301"
"9290","301"
"9291","301"
"9292","301"
"9293","301"
"9294","301"
"9295","301"
"9296","301"
"9297","301"
"9298","301"
"9299","301"
"9300","301"
"9301","301"
"9302","301"
"9303","301"
"9304","301"
"9305","301"
"9306","301"
"9307","301"
"9308","301"
"9309","301"
"9310","301"
"9311","301"
"9312","301"
"9313","301"
"9314","301"
"9315","301"
"9316","301"
"9317","301"
"9318","301"
"9319","301"
"9320","301"
"9321","301"
"9322","301"
"9323","301"
"9324","301"
"9325","301"
"9326","301"
"9327","301"
"9328","304"
"9329","308"
"9330","309"
"9331","309"
"9332","308"
"9333","301"
"9334","301"
"9335","301"
"9336","301"
"9337","301"
"9338","301"
"9339","301"
"9340","307"
"9341","307"
"9342","301"
"9343","307"
"9344","213,210,200"
"9345","307"
"9346","307"
"9347","307"
"9349","310"
"9350","307"
"9351","307"
"9352","307"
"9353","307"
"9354","307"
"9355","307"
"9356","301"
"9357","301"
"9358","301"
"9359","301"
"9360","301"
"9361","301"
"9362","301"
"9363","301"
"9364","301"
"9365","301"
"9366","301"
"9367","301"
"9368","301"
"9369","301"
"9370","308"
"9371","307"
"9372","307"
"9373","307"
"9374","307"
"9375","307"
"9376","307"
"9377","307"
"9378","307"
"9379","307"
"9380","307"
"9381","307"
"9382","236,230,200"
"9383","307"
"9384","307"
"9385","307"
"9386","307"
"9387","307"
"9389","307"
"9390","307"
"9888","307"
"9889","307"
"9890","301"
"9891","307"
"9892","301"
"9893","307"
"9894","301"
"9895","213,210,200"
"9896","213,210,200"
"9897","307"
"9898","307"
"9899","307"
"9900","307"
"9901","307"
"9902","307"
"9903","307"
"9904","301"
"9905","301"
"9906","301"
"9907","301"
"9908","307"
"9909","301"
"9910","307"
"9911","307"
"9912","307"
"9913","213,210,200"
"9914","301"
"9915","301"
"9916","301"
"9917","301"
"9918","301"
"9919","301"
"9920","301"
"9921","307"
"9922","307"
"9923","301"
"9924","307"
"9925","307"
"9926","307"
"9927","307"
"9928","307"
"9929","307"
"9930","307"
"9931","307"
"9932","307"
"9933","307"
"9934","307"
"9935","307"
"9936","307"
"9937","305"
"9938","307"
"9940","307"
"9941","301"
"9942","301"
"9943","307"
"9944","301"
"9945","301"
"9946","301"
"9947","213,210,200"
"9948","307"
"9949","307"
"9950","307"
"9951","301"
"9952","301"
"9953","307"
"9954","307"
"9955","301"
"9956","301"
"9957","301"
"9958","301"
"9959","301"
"9960","301"
"9961","120,100"
"9962","307"
"9963","307"
"9964","307"
"9965","307"
"9966","307"
"9967","301"
"9968","120,100"
"9969","307"
"9970","120,100"
"9971","120,100"
"9972","303"
"9973","307"
"9974","301"
"9975","130,100"
"9976","307"
"9977","213,210,200"
"9978","301"
"9979","301"
"9980","301"
"9981","301"
"9982","301"
"9984","301"
"9985","307"
"9986","301"
"9987","301"
"9988","301"
"9989","301"
"9990","301"
"9991","301"
"9992","301"
"9993","307"
"9994","307"
"9995","307"
"9996","307"
"9997","307"
"9998","307"
